affiliate_id,primary_geo,traffic_source,vertical_focus,avg_quality
1,SE,Social,Sports,0.6659454909025491
2,FR,Messaging,Poker,0.6786281764219156
3,ES,Social,Casino,0.641441126899283
4,NZ,Streaming,Casino,0.38808511741614504
5,CA,Social,Casino,0.25348448450510336
6,PL,PPC,Casino,0.6081530378085573
7,SE,Streaming,Casino,0.5292335949542496
8,IT,Messaging,Sports,0.6689078657574917
9,FI,PPC,Casino,0.7052930439331905
10,SE,Streaming,Casino,0.6207362148088023
11,IN,PPC,Sports,0.714019962806378
12,PT,Streaming,Casino,0.6343817061172602
13,IT,Streaming,Casino,0.67950970584022
14,FR,Social,Sports,0.49429901056951764
15,IT,Streaming,Sports,0.5730582879252812
16,FR,PPC,Sports,0.6295164144985436
17,IN,SEO,Casino,0.7230792713126128
18,NO,SEO,Casino,0.5409388241663141
19,PL,Social,Bingo,0.6781750883598169
20,NZ,Messaging,Casino,0.5601241812126931
21,IN,SEO,Casino,0.5823686749007804
22,NL,Social,Casino,0.724427856303611
23,NO,Streaming,Sports,0.3010409443418766
24,RO,PPC,Bingo,0.4055291507887858
25,FR,Streaming,Casino,0.3776721903835769
26,ES,PPC,Bingo,0.24995758202275425
27,CA,Streaming,Casino,0.4982603339767235
28,PL,Email,Casino,0.7124150849591611
29,IN,Email,Sports,0.5572673900426137
30,NZ,PPC,Casino,0.6296685122912778
31,NZ,Social,Casino,0.7633826245066189
32,FI,Messaging,Casino,0.7991529198401537
33,SE,SEO,Bingo,0.5896293097910791
34,IN,Streaming,Casino,0.8030378834354096
35,RO,Social,Bingo,0.6138189987651164
36,SE,Streaming,Sports,0.47439026642588067
37,PL,Email,Casino,0.5108399471701897
38,PL,Social,Sports,0.37791952311524757
39,DK,PPC,Casino,0.4667799219399521
40,ES,Email,Casino,0.5462974967888357
41,NO,SEO,Sports,0.7205377529067902
42,FR,Email,Sports,0.8581154746748976
43,IT,SEO,Casino,0.39267277269344397
44,NL,Email,Casino,0.6589241202389878
45,SE,Email,Sports,0.4439184091263698
46,PT,SEO,Sports,0.6712045632694803
47,NZ,Streaming,Sports,0.5803370023968409
48,RO,Social,Casino,0.3253641261228704
49,ES,Streaming,Casino,0.7392445487352726
50,FR,SEO,Casino,0.5092498930786903
51,FR,PPC,Sports,0.5199149642439668
52,FI,Social,Sports,0.4395371383065465
53,NL,PPC,Casino,0.5018575084968666
54,NZ,PPC,Casino,0.6641835661042376
55,NZ,Email,Casino,0.5716133488595392
56,DE,SEO,Sports,0.6492993003423722
57,IN,Streaming,Sports,0.6542882780893265
58,NO,SEO,Casino,0.7980992483292251
59,IT,PPC,Casino,0.548582077370343
60,ES,Email,Casino,0.3784713274731402
61,RO,Streaming,Casino,0.7600833624857974
62,IT,PPC,Sports,0.5502767741854118
63,NL,PPC,Casino,0.7671888666866065
64,PT,Messaging,Casino,0.6575065669773705
65,CA,Messaging,Bingo,0.5803293704694983
66,NL,Email,Casino,0.6523163841069443
67,RO,Social,Casino,0.8926518840189449
68,NL,Social,Casino,0.9115470793580629
69,SE,Email,Casino,0.6104071702699168
70,NZ,Email,Casino,0.6240285889975613
71,FR,PPC,Casino,0.7614360236199578
72,FI,SEO,Casino,0.4731508450848979
73,NZ,SEO,Casino,0.6499605558927383
74,NO,Messaging,Casino,0.5961205728069215
75,ES,Social,Sports,0.647086231718633
76,NZ,Social,Casino,0.4749946791075891
77,NL,Social,Casino,0.3615648760036546
78,FI,Streaming,Casino,0.2890524846013062
79,BR,SEO,Sports,0.4323923830515588
80,ES,SEO,Sports,0.5311987072591
81,PT,PPC,Casino,0.5560212620026858
82,CA,Social,Casino,0.8905846743644275
83,NO,Streaming,Casino,0.7658990054860947
84,PL,Social,Casino,0.4556863325487559
85,ES,Social,Casino,0.6521562678676435
86,IT,Messaging,Casino,0.5389382645474512
87,SE,SEO,Casino,0.5573454242939857
88,DK,Email,Casino,0.6277988474123073
89,FR,Email,Casino,0.692875667546309
90,PL,Social,Casino,0.5491112274173977
91,CA,Streaming,Sports,0.7595777299101537
92,FR,PPC,Casino,0.42870926607863935
93,PL,Messaging,Bingo,0.6009508593543402
94,CA,PPC,Casino,0.95
95,RO,Email,Sports,0.6334619613937913
96,DK,Email,Bingo,0.8149821759909259
97,FI,Messaging,Poker,0.6137280267259813
98,ES,Social,Sports,0.6871165642994694
99,ES,PPC,Sports,0.5914825208410962
100,NO,SEO,Sports,0.5744388628253693
101,PL,Social,Sports,0.48307764049118707
102,FI,Streaming,Casino,0.6645452038436329
103,FR,SEO,Casino,0.4722694216221348
104,DE,Messaging,Casino,0.6998377854470144
105,FR,Email,Sports,0.7627930506668865
106,FR,SEO,Casino,0.6549797110855845
107,FR,PPC,Casino,0.5570626899666462
108,ES,Email,Sports,0.6680948368963044
109,NZ,PPC,Casino,0.5536990416680381
110,IT,SEO,Casino,0.7403320688197723
111,DK,Email,Casino,0.32528908736773143
112,FR,Streaming,Casino,0.5496588947822031
113,IN,SEO,Casino,0.3013782007314003
114,NZ,PPC,Casino,0.3757408754659192
115,IN,PPC,Casino,0.8045793344720864
116,BR,Email,Casino,0.7342777472957529
117,DE,Streaming,Casino,0.4920779650072814
118,NO,Streaming,Sports,0.3746244815938654
119,FI,Messaging,Casino,0.1553206743237523
120,SE,Streaming,Bingo,0.5184756738101048
121,NZ,PPC,Bingo,0.95
122,ES,SEO,Casino,0.6652326407195471
123,ES,Email,Casino,0.5160641570925766
124,NZ,Messaging,Casino,0.6697620314250459
125,PL,Messaging,Sports,0.3658562470508335
126,BR,PPC,Sports,0.5554014955953547
127,SE,PPC,Sports,0.6149216209523608
128,FR,SEO,Casino,0.5870849022268427
129,BR,SEO,Sports,0.718620918253512
130,ES,Email,Casino,0.6516967839354079
131,BR,Email,Sports,0.7002489027161996
132,IN,Social,Casino,0.49674415766538604
133,SE,PPC,Sports,0.7346723112615822
134,IN,Streaming,Sports,0.8443405421435987
135,FR,Social,Casino,0.4544775720522881
136,DK,Streaming,Sports,0.466845651642816
137,BR,Messaging,Casino,0.8003676504480349
138,DE,PPC,Sports,0.5712984019957409
139,NL,PPC,Casino,0.8105732088099835
140,CA,Messaging,Bingo,0.5336196432161724
141,PT,Email,Casino,0.8182568364406066
142,FI,PPC,Bingo,0.6197228725208178
143,DK,Email,Sports,0.6387343234984042
144,CA,Email,Casino,0.8347077032504856
145,PT,Messaging,Sports,0.5457344283833743
146,PL,PPC,Sports,0.4588316856112562
147,DE,Messaging,Bingo,0.5327153687957469
148,FI,Messaging,Casino,0.6678500925964708
149,PL,PPC,Casino,0.36513613917292287
150,DE,SEO,Casino,0.6956206353976682
151,PL,Email,Sports,0.5191843023573385
152,DK,SEO,Casino,0.7721718991100345
153,RO,PPC,Casino,0.24086095426492926
154,DK,Social,Casino,0.48201513373437466
155,CA,Messaging,Casino,0.3470297773148847
156,ES,Messaging,Casino,0.4760655800454071
157,NO,SEO,Sports,0.6371498851663414
158,IN,Messaging,Sports,0.5731160061825368
159,IN,SEO,Casino,0.5619933646577977
160,FR,Streaming,Casino,0.5761222692929908
161,PT,Messaging,Bingo,0.6305082360929914
162,ES,Messaging,Casino,0.4487195937085338
163,CA,PPC,Casino,0.7060274461348576
164,CA,Messaging,Casino,0.6993998955578226
165,CA,SEO,Sports,0.6577556906484151
166,PL,Email,Casino,0.6834800164126894
167,NL,Social,Sports,0.6444627001212989
168,NO,PPC,Sports,0.9052609954096601
169,NL,SEO,Casino,0.5869358743421235
170,DE,Streaming,Sports,0.5539375172498134
171,SE,Social,Sports,0.4869708629463933
172,SE,Email,Casino,0.4451605994133244
173,FR,Social,Casino,0.4133292318598387
174,IT,Social,Casino,0.4666804030153622
175,IT,Messaging,Casino,0.5893979427521893
176,NZ,SEO,Casino,0.6501442692746572
177,IT,Streaming,Bingo,0.6076713087828243
178,NO,Streaming,Casino,0.4851697083855431
179,RO,Social,Casino,0.7350276846029945
180,IN,PPC,Sports,0.7109119008451421
181,PT,SEO,Casino,0.5760527538866974
182,NO,Messaging,Bingo,0.5020625783002932
183,NZ,Messaging,Sports,0.6822641881244699
184,IT,PPC,Casino,0.6281960381229157
185,NZ,SEO,Casino,0.3827809110877428
186,NZ,SEO,Poker,0.5898029616023392
187,NO,SEO,Sports,0.6393053718111571
188,CA,Streaming,Bingo,0.4650457820268369
189,FI,Messaging,Casino,0.6284765089256165
190,DK,SEO,Sports,0.38177662721133165
191,ES,Streaming,Sports,0.8004279150018256
192,ES,PPC,Casino,0.7871924977589148
193,BR,Social,Casino,0.5621223998545553
194,NL,Email,Sports,0.6545181506758609
195,PT,Streaming,Casino,0.23851170513001874
196,SE,Messaging,Casino,0.4265478509602001
197,NL,SEO,Sports,0.5559331619771805
198,SE,PPC,Casino,0.4391800467859711
199,NL,PPC,Casino,0.7071594723945988
200,PT,PPC,Casino,0.8995944796121991
